No	カテゴリ	質問	回答	条件/例外	次の行動	エスカレーション	参照元	言い換えキーワード
1	競合比較	Salesforceと比べてTechFlowの価格はどうですか？	TechFlow CRM Pro Growth（9,600円/ユーザー）はSalesforce Professional（$80/約11,800円）より安く、TCO（総保有コスト）で見ると多くの場合50%安くなります。	Salesforce Essentials（$25/約3,700円）との比較は機能差を説明する必要あり。SalesforceはUnlimited（$330）まで上位プランがある。	「Salesforceより高い」と言われたら比較プランを確認し、TCO試算表で総コストを示す。	TCO比較が必要な場合は営業ツールフォルダの導入費用比較試算表を活用。	競合情報 Salesforce 価格帯 / 比較ポイント	Salesforce 価格 比較 コスト TCO 高い 安い Sales Cloud セールスフォース
2	競合比較	Salesforceが選ばれる理由は何ですか？	グローバル展開・多言語・多通貨が必須な場合、カスタマイズ要件が複雑な場合、グループ会社がSalesforce統一の場合、AI機能（Einstein）を積極活用したい場合です。	これらの条件に当てはまる場合はTechFlowではなくSalesforceを推薦する判断も必要。	提案前に「グローバル展開の予定」「AI活用の優先度」「既存のSalesforce環境」を確認する。	グローバル展開が確実な大企業はSalesforceを推薦する（誠実な対応が信頼につながる）。	競合情報 Salesforce 選ばれる理由	Salesforce Einstein AI グローバル 多言語 カスタマイズ AppExchange Sales Cloud
3	競合比較	TechFlowがSalesforceに勝てる場面はどこですか？	国内中堅企業でシンプルな機能で十分なケース、導入スピード重視（最短2週間）、コスト制約が厳しいケース、日本語UIのクオリティにこだわる場合です。	TechFlowのスイートスポットは従業員50〜1,000名規模の国内中堅企業。グローバル展開が確実な大企業はSalesforceに分がある。	「国内中堅企業で早く安く始めたい」というニーズに対してTechFlowの優位性を訴求。	大企業・グローバル案件でSalesforceに完全に負ける場合は早期に見極める（案件L-001の学び）。	競合情報 Salesforce 勝てる場面	Salesforce 勝ち 差別化 国内 中堅企業 導入速度 コスト 日本語 セールスフォース
4	競合比較	Salesforceと比べてTechFlowの日本語対応はどうですか？	TechFlowはネイティブ日本語UIで完全対応しており、日本の商習慣（稟議フロー・受発注管理）に最適化されています。Salesforceは日本語対応しているものの翻訳の不自然さがある場合があります。	グローバル展開が必要な企業ではSalesforceの多言語対応が優位。	日本語UIの品質にこだわる顧客には「ネイティブ日本語設計」を強調。	多言語対応が必要な場合はSalesforceとの使い分けを正直に説明。	競合情報 Salesforce 比較 日本語対応	Salesforce 日本語 UI ローカライズ 国産 国内特化 使いやすさ 商習慣
5	競合比較	SalesforceのAI機能（Einstein）と比べてTechFlowはどうですか？	現時点ではTechFlowのAI機能はβ版で限定的です。Einstein AIはSalesforceが業界最先端の位置づけです。ただし2026年Q3にTechFlowのAI機能大幅アップデートが予定されています。	AI機能を積極活用したい場合はSalesforceが優位。まずデータ蓄積基盤を整えたい場合はTechFlowが適している。	AI機能を聞かれたら正直に認め、「正確なデータ基盤を先に整えることが重要」とリフレームする（正直な開示が信頼につながる）。	AI機能が最優先要件の場合はSalesforceを検討するよう正直に伝える。	競合情報 Salesforce 比較 AI / 営業プレイブック 第2章 2.2 反論4	Salesforce Einstein AI 人工知能 予測 自動化 機械学習 スコアリング
6	競合比較	HubSpotは無料で使えると聞いたが、TechFlowより安いのですか？	HubSpotの無料版は機能が大幅制限（レポート・カスタマイズ不可）。Professional以上（$500/月〜）になるとTechFlowより高くなるケースもあります。また、HubSpotのサポートは有償です。	HubSpot無料版は機能制限があり商用利用には不十分なケースが多い。Starterは$50/月（2名まで）と安価だが機能が限定的。	「HubSpotは無料」と言われたら機能制限を確認させ、必要な機能にはどのプランが必要かを確認する。	HubSpot Professionalとの比較になった場合はTechFlowの方が安い場合が多い（価格比較資料を活用）。	競合情報 HubSpot 比較 / 営業プレイブック 第2章 2.1 反論2 / よく聞かれる競合質問	HubSpot 無料 フリー 安い 比較 コスト Marketing Hub Sales Hub ハブスポット
7	競合比較	HubSpotが選ばれる理由は何ですか？	まず無料で試したいPoC目的の場合、マーケティング部門主導でコンテンツマーケティング（ブログ・SEO）を重視する場合、スタートアップ・小規模チームで予算が限られる場合です。	これらの条件に当てはまる場合はHubSpotが適している可能性がある。HubSpot ProfessionalはMA機能が充実している。	提案前に「導入目的（PoC vs 本格導入）」「マーケティング vs 営業主導」「コンテンツマーケティングの比重」を確認。	コンテンツマーケティング主体の会社はHubSpotに分がある。早めに適切な顧客かを見極める（案件L-002の学び）。	競合情報 HubSpot 選ばれる理由	HubSpot 選ばれる PoC 無料 コンテンツマーケティング SEO ブログ スタートアップ SMB
8	競合比較	TechFlowがHubSpotに勝てる場面はどこですか？	日本語品質・使いやすさ重視の場合、特定電子メール法等の国内法規制対応を標準で求める場合、導入後のサポート・伴走を重視する場合（HubSpotのサポートは有償）、基幹システム連携が必要な場合です。	TechFlow MAはHubSpotのブログ・SEO・SNS管理機能を持たない。コンテンツマーケティング主体の顧客はHubSpotに分がある。	国内法規制・サポート・基幹連携を重視する顧客への提案でTechFlowの優位性を訴求。	担当者がHubSpot資格保有者・ファンの場合は意思決定者レベルでの関係構築が必要（案件L-002の学び）。	競合情報 HubSpot 勝てる場面	HubSpot 勝ち 差別化 国内法規制 特定電子メール法 サポート 伴走 コンプライアンス ハブスポット
9	競合比較	HubSpotとTechFlowでMAの機能を比較するとどうですか？	HubSpotはMarketing Hubにブログ・SEO・SNS管理機能が含まれMA機能が充実。TechFlow MAはCRM Proとのネイティブ連携・特定電子メール法対応・コストパフォーマンスが強み。	コンテンツマーケティング（ブログ・SEO・SNS）が重要な企業はHubSpotが優位。CRM+MA連携の完成度と国内法規制対応はTechFlowが優位。	比較の軸（コンテンツ重視 vs CRM連携重視 vs コスト重視）を確認してから差別化ポイントを訴求。	コンテンツマーケティング機能が必須要件の場合はHubSpotが適している旨を正直に伝える。	競合情報 HubSpot 比較 MA機能	HubSpot MA マーケティングオートメーション ブログ SEO SNS コンテンツ TechFlow MA 比較 Marketing Hub
10	競合比較	GENIEEの方が安いと言われた。なぜTechFlowを選ぶべきですか？	GENIEEはSFA単体。TechFlowは5製品エコシステムで将来の拡張性が高く、3年間TCOで比較するとMAやCSを追加した場合のトータルコストはほぼ同等になるケースが多いです。	現時点の要件だけならGENIEEが安いのは事実。将来MAやCSを使わない場合はGENIEEの方がコストメリットある。	「3年間のTCOで比較しますか？」と今後の機能需要を確認し、将来拡張のシナリオを提示する。	「将来もSFA単体で十分」と判断された場合はGENIEEを推薦する誠実な対応も検討（信頼構築につながる）。	競合情報 GENIEE 比較 / 営業プレイブック 第2章 2.1 反論2 / よく聞かれる競合質問	GENIEE ジーニー ちきゅう 安い 価格 比較 コスト SFA TCO エコシステム
