No	カテゴリ	質問	回答	条件/例外	次の行動	エスカレーション	参照元	言い換えキーワード
1	製品情報	TechFlow CRM Proの月額料金はいくらですか？	Starterプランは1ユーザーあたり月額4,800円（最低5名）、Growthプランは9,600円（最低10名）、Enterpriseは個別見積もり（50名以上）です。	Starterは5名以上、Growthは10名以上が適用条件。Enterprise（50名以上）は営業に問い合わせ。	営業チーム規模を確認してプランを選択。年払い（10%割引）の提案も検討。	Enterpriseプランは営業担当者に見積もり依頼。	製品カタログ 製品1 価格	CRM Pro 価格 料金 月額 Starter Growth Enterprise SFA CRM 顧客管理 費用
2	製品情報	TechFlow CRM Proはどんな企業に向いていますか？	従業員50〜1,000名規模の中堅企業で、営業チームが10名以上存在し、Excelでの属人的な管理からの脱却を検討している企業に最適です。	営業チームが10名未満の場合はGENIEE SFAの方がコストメリットがある可能性あり。グローバル展開が必須の大企業はSalesforceを検討。	ターゲット企業の規模・体制を確認してから提案。	大企業・グローバル案件はSalesforceを推薦する判断も必要。	製品カタログ 製品1 対象顧客	CRM Pro 対象 ターゲット 中堅企業 向いている 適している 推奨
3	製品情報	TechFlow CRM Proの強みは何ですか？	日本語ネイティブUIによる完全日本語対応・最短2週間での導入・全プラン専任CS付属・ISMS認証取得の国内データセンターが主な強みです。	AI機能はβ版（限定的）。グローバル対応は英語UIのみで多言語は一部。	競合比較時は「導入速度・日本語品質・サポート」を前面に出す。	AI機能やグローバル対応を強く求める場合はSalesforceとの比較説明が必要。	製品カタログ 製品1 強み	CRM Pro 強み 差別化 アドバンテージ 特徴 優位性 日本語 国産 セキュリティ ISMS
4	製品情報	TechFlow CRM Proの弱みはどこですか？	AI機能がβ版で限定的、グローバル（多言語）対応が一部のみ、カスタムレポート作成に技術知識が必要な点が主な弱みです。	AI機能は2026年Q3に大幅アップデート予定。	顧客からAI機能について聞かれた場合は正直に認め、「正確なデータ蓄積基盤として先に整えることが重要」とリフレームする。	AI機能・グローバル要件が必須の場合はSalesforceを検討。	製品カタログ 製品1 弱み	CRM Pro 弱み デメリット 課題 欠点 AI 人工知能 予測 グローバル 多言語 レポート
5	製品情報	TechFlow MAの月額料金と対象リード数を教えてください。	Basicプランは月額98,000円（〜10,000件）、Standardは198,000円（〜50,000件）、Enterpriseは個別見積もり（50,000件以上）です。	TechFlow CRM Proと併用の場合はCRM Pro + MA セット割引（15%）が適用可能。単独利用では効果が限定的。	リード数とCRM Proの導入状況を確認してプランを選択。セット割引の提案も忘れずに。	Enterprise規模（5万件以上）は営業担当者に問い合わせ。	製品カタログ 製品2 価格	MA マーケティングオートメーション 料金 価格 月額 Basic Standard リード数 費用 SATORI Marketo HubSpot
6	製品情報	TechFlow MAはTechFlow CRM Proなしでも使えますか？	技術的には使用可能ですが、TechFlow CRM Proとの連携を前提とした設計のため、単独利用では効果が大幅に制限されます。	CRM Proとの双方向同期がMA最大の特徴。単独では他社MAと比較して競争優位が薄れる。	CRM Proと一緒に提案するのが基本。既にCRM Proを導入済みの場合は連携メリットを強調。	CRM Pro未導入でMA単体の要望が強い場合は他社MA（SATORI等）との比較も必要。	製品カタログ 製品2 弱み	MA 単独 CRM連携 セット 単体利用 マーケティング自動化
7	製品情報	TechFlow MAが他社より優れている点はどこですか？	TechFlow CRM Proとのネイティブ連携によるリアルタイムデータ同期、特定電子メール法対応のオプトイン管理が標準搭載、類似製品比約30%安価な点が主な強みです。	Salesforce連携は公式非サポート（コミュニティ対応のみ）。ランディングページのテンプレートは40種類と少ない。	国内法規制対応（特定電子メール法）を重視する顧客には積極的に訴求。	Salesforce連携が必須要件の場合は他手段を検討。	製品カタログ 製品2 強み	MA 強み 特定電子メール法 オプトイン コンプライアンス メールマーケティング CRM連携 コスパ
8	製品情報	TechFlow CSはどんな機能を持っていますか？	顧客ヘルススコア管理、オンボーディングチェックリスト、チャーンリスク自動検知アラート、QBRレポート自動生成、プレイブック管理、CRM連携が主な機能です。	CRM連携なしでは機能が大幅制限される。CSMあたり換算のため、CSMが少人数だとコストが割高に感じられる場合あり。	CSチームの人数と管理顧客数を確認してプランを選択。	単独利用はスタンドアローン不向きなのでCRM Proとセットで提案。	製品カタログ 製品3 主な機能	CS カスタマーサクセス ヘルスチェック チャーン予測 オンボーディング QBR Gainsight ChurnZero 解約防止
9	製品情報	TechFlow CSの価格はいくらですか？	CSM1名あたりStarter月額28,000円（50社まで）、Pro月額48,000円（200社まで）、Enterpriseは個別見積もり（無制限）です。	SaaS企業でチャーン率改善が課題・CSM3名以上・管理顧客100社以上が推奨対象。	CSMの人数と管理顧客数を確認してプラン提案。CRM Proとのセット割引も確認。	大規模なEnterprise案件は営業担当者に問い合わせ。	製品カタログ 製品3 価格	CS カスタマーサクセス 価格 料金 月額 Starter Pro Enterprise CSM Gainsight 費用
10	製品情報	TechFlow CSのチャーン予測精度はどのくらいですか？	独自アルゴリズムにより、リスク顧客を平均90日前に検知します（実績ベース）。また、QBRレポート自動化で手動作業を平均60%削減できます。	CRM連携データが蓄積されているほど精度が上がる。導入直後は学習データが少ないため精度が安定するまで時間がかかる場合がある。	SaaS企業へのCS提案時はチャーン予測デモを必ず行う。可能であれば顧客の実データを使用。	チャーン予測の精度に懸念がある場合はSEに技術詳細の確認を依頼。	製品カタログ 製品3 強み	CS チャーン予測 解約予測 ヘルスコア アラート 精度 90日 リスク検知 SaaS
