No	カテゴリ	質問	回答	条件/例外	次の行動	エスカレーション	参照元	言い換えキーワード
1	過去事例	製造業へのTechFlow導入成功事例はありますか？	あります。案件W-001（製造業・工業機械メーカー、従業員350名・営業25名）でTechFlow CRM Pro Growth + Analytics Basicを受注。勝因は①代理店管理機能の優位性②「最短2週間」の導入スピード③ROI定量化（月次資料2日→2時間）④同業事例の提示です。	GENIEEに代理店管理機能がなかったこと、SalesforceはコストとスピードでTechFlowが優位に立てた案件。AI機能については正直に「β版」と伝えたことが逆に信頼につながった。	製造業への提案時は代理店管理機能のデモと同業事例を必ず用意する。	月次報告自動化の詳細はSEに確認が必要な場合あり。	過去事例 W-001	製造業 工業機械 代理店管理 Analytics 月次報告 受注事例 成功事例 勝因
2	過去事例	IT/SaaS企業へのTechFlow導入成功事例はありますか？	あります。案件W-002（HR Tech SaaS、従業員80名・営業12名・CS5名）でCRM Pro Starter + CS Proを受注。勝因は①CRM+CSのセット提案でライフサイクル全体管理②チャーン予測のリアルデモ（90日前アラート体感）③HubSpot Professionalより約30%安い価格④初回訪問から3週間での契約です。	デモで技術的な質問が出た際にSEを同席させて解決した。CTOからのAPI質問にはSEが翌日回答して信頼を獲得。	SaaS企業へのCS提案時はチャーン予測デモを必ず準備し、可能であれば顧客の実データを使用。	技術系CTOからのAPI詳細質問はSEに翌日回答を依頼。	過去事例 W-002	IT SaaS HR Tech スタートアップ CRM CS チャーン予測 受注事例 HubSpot比較
3	過去事例	不動産会社へのTechFlow導入成功事例はありますか？	あります。案件W-003（不動産・投資用マンション販売、従業員120名・営業40名）でCRM Pro Growth + MA Standardを受注。勝因は①CRM+MAの連携デモ（メール開封→スコア上昇→即時通知フロー）②特定電子メール法のオプトイン管理が標準搭載③Salesforce+Pardotより40%安い価格です。	コンプライアンス担当者を早めに巻き込んだことが決定を早めた（重要な学び）。SATORIはMA単体で商談管理が弱かった。	不動産提案ではCRM+MAの連携フローデモとコンプライアンス担当者への訴求を組み合わせる。	コンプライアンス関連の確認は法務部門への相談も検討。	過去事例 W-003	不動産 投資用マンション リードスコアリング MA CRM 特定電子メール法 受注事例 SATORI Pardot
4	過去事例	商社・卸売業へのTechFlow導入成功事例はありますか？	あります。案件W-004（食品・飲料商社、従業員550名・営業60名）でCRM Pro Enterprise + Connect Businessを受注。勝因は①TechFlow ConnectのSAP専用コネクタ②Salesforce+Mulesoftの年5,000万円 vs TechFlow年1,200万円という大きなコスト差③段階導入の提案（まずCRM→6ヶ月後Connect追加）です。	商社はSAP連携が必須要件になることが多い。大型案件（Salesforce+Mulesoftと競合）はコスト差が決め手になった。	商社・卸売への提案では基幹システム連携（SAP）の要件を早期確認し、TechFlow Connectをセットで提案する。	大型商社案件（月額300万円以上）はVP of Salesのアサインが必要。	過去事例 W-004	商社 卸売 食品飲料 SAP連携 TechFlow Connect iPaaS 受注事例 Mulesoft
5	過去事例	人材紹介会社へのTechFlow導入成功事例はありますか？	あります。案件W-005（エグゼクティブサーチ、従業員45名・コンサルタント20名）でCRM Pro Starter × 20を受注。勝因は①カスタムオブジェクト（候補者・求人・企業の3方向紐付け）ノーコードデモ②モバイルアプリで移動中のログが残せる③Startterプランで月額96,000円という手頃な価格です。	kintoneとの比較案件。「ノーコードで同等のことができる」を示すのが有効（kintone比較の学び）。小規模（20名以下）はStarterプランが手頃。	人材業界へのデモはカスタムオブジェクト設定とモバイルアプリの操作感を必ず見せる。	kintoneとの詳細機能比較が必要な場合はSEに確認依頼。	過去事例 W-005	人材紹介 エグゼクティブサーチ カスタムオブジェクト 候補者管理 kintone モバイルアプリ 受注事例
6	過去事例	グローバル展開が必要な大企業では失注しましたか？	はい。案件L-001（電機メーカー・従業員5,000名・営業200名）でSalesforce Enterpriseに失注しました。失注原因は①多通貨・多言語のネイティブ対応でSalesforceが圧倒的に優位②CIOとSalesforceカントリーマネージャーの関係③IT部門がSalesforceのApex開発スキルを保有④200名規模のエンタープライズはTechFlowのスイートスポット外です。	グローバル展開が確実な大企業は最初からSalesforce推薦の方が良い（重要な学び）。エグゼクティブリレーションシップがない大型案件は早期に見極めること。	グローバル展開要件・既存Salesforce環境を初回ヒアリングで必ず確認する。	グローバル展開が確実な大企業案件はSalesforce推薦の判断を上長に相談。	過去事例 L-001	グローバル 大企業 エンタープライズ Salesforce 失注事例 多言語 多通貨 5000名 電機メーカー
7	過去事例	コンテンツマーケティング主体のIT企業では失注しましたか？	はい。案件L-002（システムインテグレーター・従業員200名・営業30名）でHubSpot Professionalに失注しました。失注原因は①HubSpotのMarketing Hubにブログ・SEO・SNS管理機能が含まれている点②HubSpot Starterからの低コストPoC③担当者がHubSpot資格保有者でハナからHubSpot志向でした。	コンテンツマーケティング主導の会社はHubSpotに分がある。担当者の好みが強い影響を持つため意思決定者レベルで関係を作ることが重要。	提案前にインバウンド/コンテンツマーケティングの比重を確認し、HubSpotが適している顧客は早めに見極める。	担当者がHubSpotファンの場合は意思決定者へのアプローチを早期に行う。	過去事例 L-002	IT SIer コンテンツマーケティング HubSpot 失注事例 SEO ブログ インバウンド
8	過去事例	予算が少ない小規模企業ではどのような失注がありましたか？	案件L-003（アパレル小売・従業員80名・営業8名）でGENIEE SFA/CRMに失注しました。失注原因は①GENIEEの方が月額1万円以上安かった（GENIEE 27,840円 vs TechFlow 38,400円）②「機能が多すぎて何から使えばいいかわからない」③PoC目的の企業に本格的なTechFlowは過剰でした。	月5万円以下・小規模・PoC目的の顧客はGENIEEに価格で負けることが多い。提案時に使う機能を絞って見せることが重要（または最初からGENIEE推薦も検討）。	小規模・PoC目的の顧客への提案では使う機能を絞って見せる工夫をする。	予算月5万円以下・小規模案件は最初からGENIEEを推薦してTechFlowに合った顧客に集中する判断も有効。	過去事例 L-003	小売 アパレル 小規模 予算 GENIEE 失注事例 PoC コスト
9	過去事例	業界特化機能が必要な保険会社では失注しましたか？	はい。案件L-004（保険代理店・従業員150名・代理店ネットワーク500店）で既存システムの継続利用（乗り換えなし）となりました。失注原因は①保険業界特有の規制対応機能（適合性原則管理・顧客説明記録）が標準では対応できなかった②既存ベンダーが格安更新価格を提示③「使い慣れたシステムの方が安全」というリスク回避判断です。	金融・保険業界は業界特化規制対応が必須。TechFlow Connectで既存システムとの連携提案が有効だった可能性がある（反省点）。	金融・保険業界への提案では業界特化規制要件を初期ヒアリングで必ず確認する。	規制対応の詳細確認は法務部門にエスカレーション。	過去事例 L-004	保険 金融 規制 コンプライアンス 適合性原則 失注事例 乗り換え リスク回避
10	過去事例	用途のミスマッチで失注した事例はありますか？	はい。案件L-005（薬局チェーン・従業員600名・エリアマネージャー20名・全国100店舗）でkintoneに失注しました。失注原因は①顧客が求めていたのは「店舗管理（在庫・シフト）」であり、SFAは過剰②kintoneは在庫・シフト管理のカスタムアプリ開発に向いていた③kintoneの方が安くニーズに合致でした。	「CRMが欲しい」という言葉の裏にある本当のニーズを確認することが重要（店舗管理≠SFA）。kintoneとの比較は「営業活動管理」の要件があるかを最初に確認する。	「CRMが欲しい」という要望の背景にある実際の課題を初期ヒアリングで確認する。	用途のミスマッチが疑われる場合は無理に提案せず、他製品を推薦することも誠実な対応。	過去事例 L-005	薬局 医療 店舗管理 kintone 失注事例 用途ミスマッチ チェーン エリアマネージャー
