No	カテゴリ	質問	回答	条件/例外	次の行動	エスカレーション	参照元	言い換えキーワード
1	提案手順	提案の冒頭で必ず確認すべき「3つのWHY」とは何ですか？	WHY NOW（今解決しないとどんな機会損失・リスクがあるか）、WHY US（競合との差別化ポイントを顧客の言葉で言えるか）、WHY CHANGE（現状のままだと何が起きるか）の3つです。提案冒頭で必ず言語化します。	3つのWHYを事前に組み立ててから訪問すること（初回訪問前チェックリスト）。すべてが明確でない場合は訪問前に仮説を設定しておく。	提案書作成前に3つのWHYが盛り込まれているか確認する。	3つのWHYが組み立てられない場合は上長・マネージャーに相談。	営業プレイブック 第1章 1.1 提案の基本フレーム	3つのWHY WHY NOW WHY US WHY CHANGE 提案 フレーム 差別化 訴求 プレゼン
2	提案手順	製造業への提案でどのポイントを刺しますか？	製造業の主な課題は「代理店・販売店の管理が属人化」です。TechFlow CRM Proの代理店管理機能と活動ログ自動記録を訴求します。月次報告の自動化（Analytics）も刺さりやすいです。	同業他社（製造業）の事例を手元に用意してから訪問すること。代理店数・代理店との情報共有方法を事前に確認。	デモでは代理店管理機能と月次報告自動化のシナリオを見せる。	代理店管理機能の詳細確認が必要な場合はSEをアサイン。	営業プレイブック 第1章 1.2 業種別 / 過去事例 W-001	製造業 代理店管理 活動ログ 月次報告 工業 メーカー 自動車 機械
3	提案手順	IT/SaaS企業への提案でどのポイントを刺しますか？	IT/SaaS企業の主な課題は「MRR・チャーン管理が不十分」です。TechFlow CSのヘルスチェック・チャーン予測を前面に出します。CRM + CSのセット提案が特に効果的です。	SaaS企業にはCRM+CSセット提案が受注率が高い（案件W-002の学び）。デモは顧客の実データを使うと訴求力が高まる。	チャーン予測デモを必ず組み込む。可能であれば顧客の実データを使用。	CSの機能詳細でデモが詰まった場合はSEを同席させる（案件W-002の学び）。	営業プレイブック 第1章 1.2 業種別 / 過去事例 W-002	IT SaaS チャーン MRR 解約率 カスタマーサクセス ヘルスチェック スタートアップ HR Tech
4	提案手順	不動産会社への提案でどのポイントを刺しますか？	不動産の主な課題は「どのリードをいつフォローするかの判断が属人的」です。TechFlow MAのリードスコアリング・自動メールシーケンスを訴求します。コンプライアンス担当者への特定電子メール法対応の早期訴求も有効です。	不動産はリードから成約まで平均6ヶ月と長期。リードスコアリングで「今攻めるリード」を明確化できる点を強調。	CRM+MAのデモで「メール開封→スコア上昇→営業に即時通知」フローを見せる（案件W-003の学び）。コンプライアンス担当者を早めに巻き込む。	コンプライアンス関連の詳細確認が必要な場合は法務部門にエスカレーション。	営業プレイブック 第1章 1.2 業種別 / 過去事例 W-003	不動産 リードスコアリング 追客 フォロー MAツール メールシーケンス オプトイン 投資用マンション
5	提案手順	商社・卸売業への提案でどのポイントを刺しますか？	商社・卸売の主な課題は「案件数が多くパイプラインが見えない」です。CRM ProのパイプラインUI・売上予測ダッシュボードを訴求します。SAP等の基幹システム連携が必要な場合はTechFlow Connectも提案します。	商社はSAP連携が必須要件になることが多い（案件W-004の学び）。TechFlow Connectの追加提案が差別化になる。	TechFlow ConnectのSAP連携コネクタをデモで見せる。段階導入（まずCRM→6ヶ月後にConnect追加）の提案も有効。	SAP連携が必要な場合はSEをアサイン。大型商社案件（月額300万円以上）はVP of Salesをアサイン。	営業プレイブック 第1章 1.2 業種別 / 過去事例 W-004	商社 卸売 パイプライン 案件管理 SAP連携 基幹システム 食品 飲料
6	提案手順	人材紹介・採用会社への提案でどのポイントを刺しますか？	人材業界の主な課題は「候補者・企業・求人情報の管理が分散している」です。CRM Proのカスタムオブジェクト（候補者・求人管理）とモバイルアプリ（移動中のログ）を訴求します。kintoneと比較されることが多いです。	kintoneとの比較では「ノーコードで同等の設定ができる」ことを示すのが有効（案件W-005の学び）。小規模（20名以下）はStarterプランが手頃。	カスタムオブジェクト（候補者・求人）のデモを実施。モバイルアプリの操作感も見せる。	kintoneとの詳細機能比較が必要な場合はSEに確認依頼。	営業プレイブック 第1章 1.2 業種別 / 過去事例 W-005	人材紹介 採用 エグゼクティブサーチ 候補者管理 求人 カスタムオブジェクト kintone 人材業界
7	提案手順	経営者・役員への提案で使うべき言葉・訴求軸は何ですか？	経営者・役員が関心を持つのはROI・競合優位・経営可視化です。「投資回収期間」「営業利益への影響」「経営の意思決定スピード」という言葉を使います。ROI試算や競合比較をデータで示すことが重要です。	経営者への訴求はROI数値が鍵。「営業10名が1日30分削減×250日=1,250時間/年、時給3,000円換算で375万円」のような具体的な試算を準備。	ROI試算を事前に準備し、経営者への提案資料に組み込む。	月額300万円以上の大型案件はVP of Salesをアサイン（エグゼクティブレベルの関係構築が必要）。	営業プレイブック 第1章 1.3 意思決定者別	経営者 役員 ROI 投資回収 営業利益 経営可視化 意思決定 費用対効果
8	提案手順	IT部門担当者への提案で使うべき言葉・訴求軸は何ですか？	IT部門担当者が関心を持つのはセキュリティ・導入負荷・システム連携です。「ISMS認証」「API連携」「既存システムとの共存」という言葉を使います。セキュリティ資料とAPI仕様を早めに提示することが重要です。	IT部門はセキュリティ・API・導入負荷を詳細に確認してくる。セキュリティ詳細（SOC2・ペネトレーションテスト）の要求が出た場合はSEを同席させる。	訪問前にISMS証明書・API仕様書を準備しておく。	セキュリティ詳細確認（SOC2・ペネトレーションテスト）・API開発要件がある場合はSEをアサイン。	営業プレイブック 第1章 1.3 意思決定者別	IT部門 セキュリティ ISMS API連携 既存システム 導入負荷 共存 技術要件
9	提案手順	現場営業担当者への提案で使うべき言葉・訴求軸は何ですか？	現場営業担当者が関心を持つのは使いやすさ・入力負荷の削減です。「モバイル対応」「自動ログ」「入力が最小限」という言葉を使います。デモで操作感の良さを体感させることが重要です。	現場担当者は「使いやすいか」「入力が増えるか」に敏感。実際の操作デモで入力の少なさを体感させる。	デモでモバイルアプリと自動ログ機能を必ず見せる。	現場担当者からの強い反対意見がある場合は営業部長・IT部門へのアプローチに切り替える。	営業プレイブック 第1章 1.3 意思決定者別	現場営業 使いやすさ UI モバイル 自動ログ 入力削減 操作性 現場目線
10	提案手順	財務・経理担当者への提案で使うべき言葉・訴求軸は何ですか？	財務・経理担当者が関心を持つのはコスト・契約条件です。「月額固定」「解約のしやすさ」「無駄なく必要な機能だけ」という言葉を使います。年払いのコスト削減効果と総コストを明確に提示します。	財務・経理は「コストが明確か」「解約条件は何か」「予算内に収まるか」を確認してくる。隠れコストがないことを明示する。	見積書で年間総額（初期費用含む）を明確に示す。	特殊な契約条件（SLA個別交渉・カスタム契約）が求められる場合は上長にエスカレーション。	営業プレイブック 第1章 1.3 意思決定者別	財務 経理 コスト 月額 年額 解約 契約条件 予算
